SQ_CANDIDATO,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,CD_GENERO,DS_GENERO,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO,CD_COR_RACA,DS_COR_RACA
210001183571,2020,88013,PORTO ALEGRE,13,VEREADOR,MARCIO RENATO REGINATTO,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,1,BRANCA
210000961013,2020,88013,PORTO ALEGRE,13,VEREADOR,SIMONE DA CUNHA PEIXOTO,4,FEMININO,2,LÊ E ESCREVE,1,BRANCA
210000728292,2020,88013,PORTO ALEGRE,13,VEREADOR,RAQUEL FRAGA FERREIRA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000961042,2020,88013,PORTO ALEGRE,13,VEREADOR,SIMON JONATHAN WOLK,2,MASCULINO,2,LÊ E ESCREVE,1,BRANCA
210000668051,2020,88013,PORTO ALEGRE,13,VEREADOR,CINTIA ELISABETE DOS SANTOS FERREIRA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,3,PARDA
210000668021,2020,88013,PORTO ALEGRE,13,VEREADOR,CLEONICE PEREIRA MACHADO,4,FEMININO,8,SUPERIOR COMPLETO,1,BRANCA
210000668032,2020,88013,PORTO ALEGRE,13,VEREADOR,BEATRIZ POGGETTI PICCOLI,4,FEMININO,8,SUPERIOR COMPLETO,1,BRANCA
210000652192,2020,88013,PORTO ALEGRE,13,VEREADOR,DANIEL BENDER LUDWIG,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000652186,2020,88013,PORTO ALEGRE,13,VEREADOR,ELIANE CARMANIM LIMA,4,FEMININO,8,SUPERIOR COMPLETO,1,BRANCA
210001055961,2020,88013,PORTO ALEGRE,13,VEREADOR,ADALCIR BRUBACHER,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000729042,2020,88013,PORTO ALEGRE,13,VEREADOR,LUIZ GOLIN,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210001250389,2020,88013,PORTO ALEGRE,13,VEREADOR,PAULA RENATA CORREA WEBER PAIM,4,FEMININO,8,SUPERIOR COMPLETO,1,BRANCA
210000981667,2020,88013,PORTO ALEGRE,13,VEREADOR,ALLAN CHEMALE YURGEL,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
