SQ_CANDIDATO,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,CD_GENERO,DS_GENERO,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO,CD_COR_RACA,DS_COR_RACA,QT_VOTOS_NOMINAIS,PERC_VOTOS,CLASSIFICACAO,SITUACAO
210000017170,2012,88013,PORTO ALEGRE,13,VEREADOR,JOEL FRANCISCO SOARES VIEIRA JUNIOR,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,306,0.02100732166946421,326,NÃO ELEITO
210000000379,2012,88013,PORTO ALEGRE,13,VEREADOR,ELIZABETH DOS SANTOS MASERA,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,586,0.04022970751080401,229,NÃO ELEITO
210000000393,2012,88013,PORTO ALEGRE,13,VEREADOR,LUÍS ANDRÉ BLANCO MACHADO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,79,0.005423458862378015,492,NÃO ELEITO
210000029793,2012,88013,PORTO ALEGRE,13,VEREADOR,LUCIANO VIEIRA BATISTA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,1317,0.09041386483230185,130,NÃO ELEITO
210000010626,2012,88013,PORTO ALEGRE,13,VEREADOR,MARCELO FRANCISCO CHIODO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,3113,0.2137117397288957,63,NÃO ELEITO
210000001001,2012,88013,PORTO ALEGRE,13,VEREADOR,LINDOMAR ANTONIO POSSA,2,MASCULINO,8,SUPERIOR COMPLETO,-3,#NE#,4045,0.2776948240293553,52,NÃO ELEITO
210000000368,2012,88013,PORTO ALEGRE,13,VEREADOR,BENEDITO MELGAREJO SALDANHA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,240,0.016476330721148402,360,NÃO ELEITO
210000000302,2012,88013,PORTO ALEGRE,13,VEREADOR,CANDIDO IVAN RIBEIRO COSTA,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,1142,0.07839987368146448,148,NÃO ELEITO
210000017174,2012,88013,PORTO ALEGRE,13,VEREADOR,JOÃO INÁCIO ANTUNES DE OLIVEIRA,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,-3,#NE#,80,0.0054921102403828,489,NÃO ELEITO
210000001009,2012,88013,PORTO ALEGRE,13,VEREADOR,MICHELE PADILHA WILLGES,4,FEMININO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,300,0.0205954134014355,329,NÃO ELEITO
210000018666,2012,88013,PORTO ALEGRE,13,VEREADOR,FABIAN TUBINO ROCHA,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,126,0.00865007362860291,443,NÃO ELEITO
210000001015,2012,88013,PORTO ALEGRE,13,VEREADOR,OSÓRIO LUIZ RODRIGUES SIEBEN,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,212,0.01455409213701442,384,NÃO ELEITO
210000029985,2012,88013,PORTO ALEGRE,13,VEREADOR,MARIA EDILIA CAMARGO JABLONSKI,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,122,0.00837546811658377,446,NÃO ELEITO
210000000449,2012,88013,PORTO ALEGRE,13,VEREADOR,FERNANDO PEREIRA DA CUNHA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,185,0.012700504930885224,396,NÃO ELEITO
210000032992,2012,88013,PORTO ALEGRE,13,VEREADOR,ELIANE CARMANIM LIMA,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,896,0.06151163469228736,171,NÃO ELEITO
210000028626,2012,88013,PORTO ALEGRE,13,VEREADOR,FERNANDA BUCHABQUI SAENGER,4,FEMININO,8,SUPERIOR COMPLETO,-3,#NE#,155,0.010640963590741674,416,NÃO ELEITO
210000033017,2012,88013,PORTO ALEGRE,13,VEREADOR,VALDEMIR LIMA FERNANDES,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,172,0.011808037016823019,404,NÃO ELEITO
210000029979,2012,88013,PORTO ALEGRE,13,VEREADOR,CLEBSON JERONIMO RAMIRES ANSELMO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,78,0.00535480748437323,494,NÃO ELEITO
210000000461,2012,88013,PORTO ALEGRE,13,VEREADOR,MARCOS CARLOS DE OLIVEIRA,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,-3,#NE#,2426,0.1665482430396084,85,NÃO ELEITO
210000017168,2012,88013,PORTO ALEGRE,13,VEREADOR,JAIME SKILHAN MARTINS,2,MASCULINO,7,SUPERIOR INCOMPLETO,-3,#NE#,214,0.01469139489302399,383,NÃO ELEITO
210000010611,2012,88013,PORTO ALEGRE,13,VEREADOR,ESTEVÃO UCHAKI ALVES,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,-3,#NE#,384,0.02636212915383744,292,NÃO ELEITO
210000029978,2012,88013,PORTO ALEGRE,13,VEREADOR,CLAUDIO DERLI SANTOS DA SILVEIRA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,-3,#NE#,47,0.003226614766224895,527,NÃO ELEITO
