ANO_ELEICAO,SQ_CANDIDATO,NM_CANDIDATO,DS_CARGO,DS_GENERO,DS_COR_RACA,DS_GRAU_INSTRUCAO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,PERC_VOTOS
2012,210000017170,JOEL FRANCISCO SOARES VIEIRA JUNIOR,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,306,"0,02"
2012,210000000379,ELIZABETH DOS SANTOS MASERA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,586,"0,04"
2012,210000000393,LUÍS ANDRÉ BLANCO MACHADO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,79,"0,01"
2012,210000029793,LUCIANO VIEIRA BATISTA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,1317,"0,09"
2012,210000010626,MARCELO FRANCISCO CHIODO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,3113,"0,21"
2012,210000001001,LINDOMAR ANTONIO POSSA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,4045,"0,28"
2012,210000000368,BENEDITO MELGAREJO SALDANHA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,240,"0,02"
2012,210000000302,CANDIDO IVAN RIBEIRO COSTA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,1142,"0,08"
2012,210000017174,JOÃO INÁCIO ANTUNES DE OLIVEIRA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO INCOMPLETO,SUPLENTE,80,"0,01"
2012,210000001009,MICHELE PADILHA WILLGES,VEREADOR,FEMININO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,300,"0,02"
2012,210000018666,FABIAN TUBINO ROCHA,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,126,"0,01"
2012,210000001015,OSÓRIO LUIZ RODRIGUES SIEBEN,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,212,"0,01"
2012,210000029985,MARIA EDILIA CAMARGO JABLONSKI,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,122,"0,01"
2012,210000000449,FERNANDO PEREIRA DA CUNHA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,185,"0,01"
2012,210000032992,ELIANE CARMANIM LIMA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,896,"0,06"
2012,210000028626,FERNANDA BUCHABQUI SAENGER,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,155,"0,01"
2012,210000033017,VALDEMIR LIMA FERNANDES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO ELEITO,172,"0,01"
2012,210000029979,CLEBSON JERONIMO RAMIRES ANSELMO,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO ELEITO,78,"0,01"
2012,210000000461,MARCOS CARLOS DE OLIVEIRA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL COMPLETO,SUPLENTE,2426,"0,17"
2012,210000017168,JAIME SKILHAN MARTINS,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR INCOMPLETO,SUPLENTE,214,"0,01"
2012,210000010611,ESTEVÃO UCHAKI ALVES,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO FUNDAMENTAL INCOMPLETO,SUPLENTE,384,"0,03"
2012,210000029978,CLAUDIO DERLI SANTOS DA SILVEIRA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,NÃO ELEITO,47,"0,00"
2012,210000000305,CONCEIÇÃO BEATRIZ ESPINDOLA BRASIL,VEREADOR,FEMININO,NÃO INFORMADO,LÊ E ESCREVE,SUPLENTE,48,"0,00"
2012,210000000337,PATRICIA LUCEIRO DE OLIVEIRA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,537,"0,04"
2012,210000000348,SILVANA BRAZEIRO CONTI,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,801,"0,05"
2012,210000018684,LUIS FRANCISCO SIQUEIRA BARBOSA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,61,"0,00"
2012,210000010969,MARIO PINTO DE FRAGA,VEREADOR,MASCULINO,NÃO INFORMADO,ENSINO MÉDIO COMPLETO,SUPLENTE,3286,"0,23"
2012,210000032999,JOAO DE CARVALHO CALIXTO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,292,"0,02"
2012,210000000477,SILCE ISOLETE RODRIGUES GARCIA,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,SUPLENTE,264,"0,02"
2012,210000000321,JOSÉ TARCISO DE SOUZA,VEREADOR,MASCULINO,NÃO INFORMADO,LÊ E ESCREVE,ELEITO,5231,"0,36"
2012,210000000370,CARLOS ROBERTO COMASSETTO,VEREADOR,MASCULINO,NÃO INFORMADO,SUPERIOR COMPLETO,ELEITO,5426,"0,37"
2012,210000032990,DÓRIS LÉA SCHLATTER,VEREADOR,FEMININO,NÃO INFORMADO,SUPERIOR COMPLETO,NÃO ELEITO,17,"0,00"
