SQ_CANDIDATO,QT_VOTOS_NOMINAIS
210000000002,48831
210000000004,384
210000000005,1251
210000000007,189
210000000008,207
210000000009,93
210000000010,225
210000000011,120
210000000012,139
210000000013,137
210000000014,12
210000000015,285
210000000021,156
210000000022,992
210000000024,70
210000000025,69
210000000026,81
210000000027,75
210000000028,59
210000000029,87
210000000030,61
210000000031,127
210000000032,145
210000000033,31
210000000034,24
210000000035,12
210000000036,9
210000000037,89
210000000038,97
210000000039,0
210000000041,716
210000000042,1595
210000000043,170
210000000044,2150
210000000045,724
210000000046,1331
210000000047,549
210000000048,298
210000000049,1618
210000000050,204
210000000051,274
210000000052,130
210000000053,1726
210000000054,144
210000000055,2525
210000000056,459
210000000057,216
210000000058,346
210000000059,140
210000000060,900
210000000061,534
210000000062,180
210000000063,187
210000000064,218
210000000065,213
210000000066,295
210000000067,346
210000000068,297
210000000069,675
210000000070,672
210000000071,181
210000000072,244
210000000073,836
210000000074,493
210000000075,1879
210000000076,916
210000000077,106
210000000078,374
210000000079,137
210000000080,184
210000000081,132
210000000082,876
210000000083,484
210000000084,1744
210000000085,380
210000000086,749
210000000087,900
210000000088,308
210000000089,3543
210000000090,405
210000000091,220
210000000092,66
210000000093,294
210000000094,212
210000000095,247
210000000096,631
210000000097,188
210000000098,86
210000000099,210
210000000100,138
210000000101,27
210000000102,2948
210000000103,136
210000000104,65
210000000105,403
210000000106,202
210000000107,928
210000000108,517
210000000109,38
210000000110,1400
210000000111,407
210000000112,273
210000000113,468
210000000114,1
210000000115,56
210000000116,1893
210000000117,837
210000000118,31
210000000119,377
210000000120,540
210000000121,32
210000000122,53
210000000123,903
210000000124,2821
210000000125,162
210000000127,20
210000000128,44
210000000129,24
210000000130,129
210000000131,580
210000000132,1838
210000000133,737
210000000134,4423
210000000135,239
210000000136,494
210000000137,645
210000000138,352
210000000139,252
210000000140,73
210000000141,755
210000000142,597
210000000143,819
210000000144,1343
210000000145,415
210000000146,447
210000000147,196
210000000148,274
210000000149,1600
210000000150,387
210000000151,63
210000000152,798
210000000153,78
210000000154,1224
210000000155,85
210000000156,1638
210000000157,52
210000000158,439
210000000159,104
210000000160,149
210000000161,568
210000000162,334
210000000163,1116
210000000164,739
210000000166,10
210000000167,14
210000000168,29
210000000169,41
210000000170,6
210000000171,105
210000000172,36
210000000173,78
210000000174,63
210000000175,86
210000000176,105
210000000177,3
210000000178,63
210000000179,13
210000000180,24
210000000181,31
210000000182,18
210000000184,876
210000000186,118
210000000187,3
210000000188,3
210000000189,85
210000000190,111
210000000191,0
210000000192,113
210000000193,64
210000000194,94
210000000195,42
210000000196,18
210000000197,62
210000000198,1353
210000000199,1842
210000000200,781
210000000201,1800
210000000202,1894
210000000203,817
210000000204,1296
210000000205,655
210000000206,2257
210000000207,2148
210000000208,1439
210000000209,763
210000000210,597
210000000211,149
210000000212,746
210000000213,1939
210000000214,320
210000000215,611
210000000216,1661
210000000217,2215
210000000218,813
210000000219,367
210000000220,428
210000000221,647
210000000222,108
210000000223,518
210000000224,3333
210000000225,1781
210000000226,0
210000000228,441
210000000229,43
210000000230,77
210000000231,333
210000000232,222
210000000233,218
210000000234,10
210000000235,271
210000000236,186
210000000237,134
210000000238,239
210000000239,84
210000000240,939
210000000241,1855
210000000243,58
210000000244,122
210000000245,39
210000000246,253
210000000247,99
210000000248,14
210000000249,83
210000000250,49
210000000251,87
210000000252,149
210000000253,90
210000000254,4
210000000255,54
210000000256,161
210000000257,133
210000000258,141073
210000000260,1693
210000000262,207
210000000263,36
210000000264,17
210000000265,84
210000000266,233
210000000267,21
210000000268,228
210000000269,198
210000000270,44
210000000271,218
210000000272,214
210000000273,73
210000000274,121
210000000275,915
210000000277,101
210000000278,97
210000000279,45
210000000280,168
210000000281,17
210000000282,31
210000000283,118
210000000284,24
210000000285,71
210000000286,115
210000000287,51
210000000288,90
210000000289,119
210000000290,234
210000000291,159
210000000292,1153
210000000293,383
210000000294,144
210000000295,206
210000000296,314
210000000297,33
210000000298,15
210000000299,257
210000000300,96
210000000301,7386
210000000302,1142
210000000303,246
210000000304,421
210000000305,48
210000000306,57
210000000307,244
210000000308,222
210000000309,748
210000000310,319
210000000311,473
210000000312,171
210000000313,282
210000000314,63
210000000315,482
210000000316,118
210000000317,852
210000000319,622
210000000320,93
210000000321,5231
210000000322,14038
210000000323,2742
210000000324,5686
210000000325,1008
210000000326,1118
210000000327,291
210000000328,2424
210000000329,557
210000000330,160
210000000331,771
210000000332,218
210000000333,851
210000000334,21
210000000335,1833
210000000336,2530
210000000337,537
210000000338,6
210000000339,691
210000000340,412
210000000341,446
210000000342,1229
210000000343,80
210000000344,1048
210000000345,988
210000000346,2861
210000000347,212
210000000348,801
210000000349,218
210000000350,308
210000000351,2752
210000000353,49
210000000354,400
210000000355,76548
210000000357,434
210000000358,107
210000000359,5026
210000000360,1526
210000000361,315
210000000362,5280
210000000363,1270
210000000364,43
210000000365,1460
210000000366,1393
210000000367,4548
210000000368,240
210000000369,4443
210000000370,5426
210000000371,140
210000000372,2138
210000000373,117
210000000374,442
210000000375,143
210000000376,297
210000000377,838
210000000379,586
210000000380,41
210000000381,465
210000000382,221
210000000383,1033
210000000384,234
210000000386,870
210000000387,2685
210000000388,167
210000000389,300
210000000390,154
210000000391,2184
210000000392,62
210000000393,79
210000000394,5723
210000000395,731
210000000396,4705
210000000397,55
210000000398,5984
210000000399,2259
210000000400,801
210000000401,219
210000000402,1619
210000000403,7085
210000000404,1598
210000000405,932
210000000406,183
210000000407,8075
210000000409,288
210000000410,552
210000000411,487
210000000412,361
210000000413,580
210000000414,458
210000000415,323
210000000416,524
210000000417,153
